name,age_group,sex,year,population,total_inactive_population,total_unemployed_population,total_employed_population,Less than basic_inactive,Basic_inactive,Intermediate_inactive,Advanced_inactive,Level not stated_inactive,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Rwanda,15-24,male,2020,1279700.0,671599.3570000001,94687.35112152998,513413.29187847,31309962.02334,34191123.26487,49402848.70092001,50403531.742850006,27727426.40275987,11207.125784263357,554689.3444290106,89734.27181867145,15968.614968054664,3118.6836671932433
Rwanda,15-24,male,2021,1317280.0,730734.7344,96615.736149632,489929.529450368,34066853.317728,37201705.32830399,53752847.062464,54841641.81672,27727426.40275987,24612.77038021547,624595.6112343089,71818.86368302083,9709.213651948785,3118.6836671932433
Rwanda,15-24,male,2022,1354860.0,764561.0466,96082.960644918,494215.992755082,35643835.992492,38923802.882406,56241110.587896,57380306.54733,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2023,1392440.0,797297.2196,95300.21342545202,499842.566974548,37169996.377752,40590401.44983599,58649183.473776,59837156.33098,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2024,1430020.0,828310.4846000001,94654.923867574,507054.591532426,38615834.792052,42169286.770986,60930519.24717601,62164701.86923,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2015,1096585.6,431966.9995520001,71891.79401046016,592726.8064375399,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2016,1103553.376,432173.57310912,73039.40875649884,598340.3941343811,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2017,1110521.152,433158.7753376,73974.7451553007,603387.6315070993,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2018,1117488.928,526124.9621916801,65812.89575480793,525551.070053512,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2019,1124456.704,551107.47519744,68704.43808741076,504644.79071514914,54.61,40.8,31.5,22.03,27727426.40275987,104152.649962297,363783.4923478399,42494.2906432946,40677.04224400845,3118.6836671932433
Rwanda,25-35,female,2020,1131424.48,505950.3989664,80079.44659473181,545394.6344388681,27629951.287555102,20642776.27782912,15937437.5674416,11146087.289229792,27727426.40275987,88597.47284748965,338501.8393723089,42881.41632230831,35949.71508068374,0.0
