name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,15-24,female,2022,1373220.0,61.847,849295.3734,18.698,97963.426681668,425961.1999183319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,male,2019,4411507.328,7.032,310217.19530495995,3.166,129846.84560112497,3971443.287093915,1254115.1927992569,41392.06446741066,297185.0022319828,4504.834391852097,10819.784311234049,408302.7654244223,669367.2748136983,369902.312791054,110099.0922253915,22394.964786899327,35210.77714012646,14044.293086052832,35775.40033219999,130097.0411940045,116921.9599947449,222230.6659269846,48010.38796703872,0,0,84654.19010971622,0
Rwanda,25-35,female,2017,1110521.152,39.005,433158.7753376,10.921,73974.7451553007,603387.6315070993,29674111.82055132,183055.7023388584,2013896.578774751,8302.373503500265,34559.47344546453,901323.7591548788,8620590.630428493,137483.84696632126,1073182.302780019,91182.04916968722,287231.7795919985,7673.576894331984,181257.31228627727,380172.102587469,452974.87185511086,1112415.4307037753,527522.5682253927,0,0,2791180.731504153,0
Rwanda,15-24,female,2017,1191260.0,58.469,696517.8094,17.968,88895.27680700799,405846.913792992,22196824.444237288,136929.29759461642,1506434.6012524634,6210.340118758061,25851.171876456327,674208.0561792922,6448372.843858315,102840.64552578478,802761.6568787266,68205.9820399961,214855.07047236693,5739.987778332706,135584.06615110076,284376.276222236,338834.19220841816,832108.8150409738,394597.3482907325,0,0,2087858.5705951024,0
Rwanda,15-24,male,2019,1241980.0,58.756,729737.7688,16.53,84673.64081736,427568.59038264,165154.87368553178,13258.924814320784,22579.03331267746,1759.9271944397335,1048.1225694222182,53758.57776583592,47392.12009263836,33938.99217261559,10066.160133566622,1624.7848009258923,3869.502007909966,661.9721491087695,3757.7378129705994,8545.14172280462,10162.954078541634,12406.235782104468,4598.9428178169965,0,0,19755.398083099197,0
Kenya,15-24,male,2021,5645120.0,58.036,3276201.8432,12.474,295498.850879232,2073419.305920768,62218978.51487073,2189324.524592686,15173399.59903555,238334.1162583632,572434.7462335603,22047563.303030293,34051220.071563,18668742.79215727,5581969.279958301,1130260.1335239715,1732756.5224095357,718531.3207747497,1830333.893947931,6655998.864823422,5702304.818808082,11134942.745070338,2419603.455970988,0,0,4297946.162912966,0
Kenya,25-35,male,2024,4915950.336,6.661,327451.45188096,3.416,156743.1218815064,4431755.762237534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2021,1317280.0,55.473,730734.7344,16.472,96615.736149632,489929.529450368,16039326.718548218,1424376.5039766114,2297716.820227195,160576.65319825278,95631.23683247143,5830095.678460656,4644197.107376552,3318097.52015217,1023346.2981538876,158849.5731197093,361754.7007360681,66209.29379507319,375842.3480486125,854670.0939116804,926959.334653984,1207737.737337371,435756.6240246524,0,0,1925096.7986296725,0
Rwanda,25-35,male,2024,1128108.608,30.371,342617.86533568,10.035,78823.9960263645,706666.7466379555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2022,5740420.0,58.126,3336676.5292,14.332,344504.51423505606,2059238.956564944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2015,1091100.0,53.881,587895.591,15.468,77835.65798412,425368.75101588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2018,1204260.0,58.393,703203.5418000001,17.129,85825.960725078,415230.49747492187,18055988.923674367,1171646.023602355,2002105.1641871703,149473.16285979425,89018.56622889865,4705083.303165677,5636944.620271578,3230239.2846561903,895497.4135570397,154643.47516182068,341483.0552192729,63938.87302784361,362954.12309857697,825362.1128244161,801728.2635991587,1058197.7830539974,390301.1844421104,0,0,1960234.7862586768,0
Kenya,15-24,male,2024,6063980.0,57.193,3468172.0814,12.438,322866.588915468,2272941.329684532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2021,1141668.736,45.611,520726.52717696,13.182,81852.60196705314,539089.6068559869,28825417.751351304,134658.87143967306,2882115.103727937,18676.82254948387,77744.17191329872,1543003.2437042368,7092744.828514661,151171.99207971088,1397002.4289001978,100260.30198491905,491210.7066812464,10787.566445353974,254812.75901969185,534448.52039751,568018.5156600707,1588833.1150629304,639894.746190438,0,0,3285205.03022404,0
Kenya,25-35,female,2020,4527312.0,13.634,617253.71808,3.597,140644.7964006624,3769413.4855193375,132551916.7631604,2423620.2550493367,23578002.53637325,0.0,1151303.386786445,11943664.63455989,89923064.74002051,8682377.129421912,17172047.63683247,568829.5955255189,4373114.336381383,1004160.6354060704,1754770.921312499,4759869.913859756,7448051.304457998,25850972.11612645,7985682.210554668,0,0,18020574.90334463,0
Rwanda,15-24,female,2019,1261820.0,63.503,801293.5545999999,18.032,83042.12863452802,377484.31676547206,215746.5251969408,1377.2424800224655,20701.494866206594,101.86459713936456,424.0217376858103,11109.452344113872,53129.63387342228,1121.338735989428,9952.502407498489,743.6943758630031,3350.351444937393,77.01957344683662,1819.2768598853584,3815.781555444083,3857.6040119931727,12035.13651852464,4884.945741679203,0,0,24701.957764431805,0
Kenya,15-24,male,2018,5210900.0,56.142,2925503.478,10.189,232859.05162658,2052537.47037342,64110857.460785545,2051671.4209018035,15324411.023652203,233207.25561591503,560120.9691843139,19490289.25167752,34243490.24685182,18069007.90132417,5541019.751311271,1093950.4341864905,1798772.9425512454,671955.7296218283,1711690.6550896238,6224553.396993206,5889581.81339932,10916232.54842157,2488154.1000508503,0,0,4382012.49899865,0
Rwanda,25-35,male,2021,1098918.272,27.793,305422.35533695994,10.726,85110.37202127767,708385.5446417623,25387791.147014946,2254569.2741488507,3636932.881942776,254168.183367044,151369.56247832227,9228146.171541473,7351050.843755054,5252038.83711874,1619800.0417659297,251434.4808184497,572602.1390983602,104799.1447743772,594900.7214515761,1352811.5128883282,1467234.2800247786,1911663.3742756569,689735.8197007623,0,0,3047132.6084328927,0
