name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,15-24,male,2015,1091100.0,53.881,587895.591,15.468,77835.65798412,425368.75101588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2016,1128820.0,54.457,614721.5074,15.489,79628.715518814,434469.77708118595,17504404.363996126,1112817.265976732,1900953.6158637984,140204.26376387352,83498.48428072213,4442128.662864965,5346716.767280689,2973240.521333693,857052.1932062769,142339.99595479615,319406.8198636881,59576.06929116909,338188.3189874171,769044.3715284152,734280.1812951501,990175.1343991474,373129.17089259037,0,0,1862554.7829785,0
Rwanda,15-24,male,2017,1166540.0,54.867,640045.5018,15.486,81532.93799125201,444961.560208748,17487400.78925767,1140815.1030457134,1910638.7134115936,146777.66147064904,87413.26354887987,4521544.901817994,5514613.515837604,3097873.074960053,901014.5696591596,148306.61623045898,335391.75097703986,62170.85011245925,352917.7997090159,802539.3907484709,735094.737034766,1029944.3550388874,382134.01254099415,0,0,1934794.3611549698,0
Rwanda,15-24,male,2018,1204260.0,58.393,703203.5418000001,17.129,85825.960725078,415230.49747492187,18055988.923674367,1171646.023602355,2002105.1641871706,149473.16285979425,89018.56622889865,4705083.303165677,5636944.620271578,3230239.2846561903,895497.4135570397,154643.47516182068,341483.0552192729,63938.87302784361,362954.12309857697,825362.1128244161,801728.2635991587,1058197.7830539974,390301.1844421104,0,0,1960234.7862586766,0
Rwanda,15-24,male,2019,1241980.0,58.756,729737.7688,16.53,84673.64081736,427568.59038264,165154.87368553178,13258.924814320784,22579.03331267746,1759.9271944397337,1048.1225694222182,53758.577765835915,47392.12009263836,33938.99217261559,10066.160133566622,1624.7848009258923,3869.502007909966,661.9721491087695,3757.7378129705985,8545.14172280462,10162.954078541634,12406.235782104468,4598.9428178169965,0,0,19755.398083099193,0
Rwanda,15-24,male,2020,1279700.0,52.481,671599.3570000001,15.571,94687.35112152998,513413.29187847,17562911.731052987,1016008.686496762,2428000.728896558,100746.93949269335,59999.72124762941,6844818.699065088,3678900.561408146,2955237.206752068,1043496.0792959596,141478.1108478449,374575.84074827237,72561.34504569329,411900.27466458606,936666.2598231082,879089.9628992125,1063419.9807812602,461012.28787274944,0,0,1512194.1786287578,0
Rwanda,15-24,male,2021,1317280.0,55.473,730734.7344,16.472,96615.73614963201,489929.529450368,16039326.718548218,1424376.5039766114,2297716.820227195,160576.65319825278,95631.23683247143,5830095.678460656,4644197.107376552,3318097.52015217,1023346.2981538877,158849.5731197093,361754.7007360681,66209.29379507319,375842.3480486125,854670.0939116804,926959.334653984,1207737.7373373713,435756.62402465235,0,0,1925096.7986296725,0
Rwanda,15-24,male,2022,1354860.0,56.431,764561.0466,16.277,96082.960644918,494215.99275508197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2023,1392440.0,57.259,797297.2196,16.013,95300.21342545202,499842.56697454804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2024,1430020.0,57.923,828310.4846000001,15.731,94654.92386757399,507054.59153242595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2015,1096585.6,39.392,431966.9995520001,10.817,71891.79401046016,592726.8064375399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2016,1103553.376,39.162,432173.57310911996,10.879,73039.40875649884,598340.3941343811,29578265.938735407,162447.3072818586,2023910.593051108,8552.903599731639,35602.33043140326,965483.3374842363,8245216.922977085,126678.40316097123,996146.1355066333,84015.66177145654,248762.0096469259,6956.33485926327,164315.36131275902,344637.7727317797,410511.3267271751,1051683.5560130305,519511.61945123045,0,0,2726191.0775898416,0
